arxiv_id,title,abstract,authors,published,updated,primary_category,all_categories,comments,journal_ref,doi,abstract_url,pdf_url,collection_query,collection_year,screen_id,qis_relevance_label,qis_subfield,paper_type,screening_reason,key_qis_terms,selected_for_pilot,recognition_flag,manual_review_needed
2601.00701,Pseudo-Hermitian Magnon Dynamics,"A defining quantity of a physical system is its energy which is represented by the Hamiltonian. In closed quantum mechanical or/and coherent wave-based systems the Hamiltonian is introduced as a Hermitian operator which ensures real energy spectrum and secures the decomposition of any state over a complete basis set spanning the space where the states live. Pseudo-Hermitian, or PT symmetric, systems are a special class of non-Hermitian ones. They describe open systems but may still have real energy spectrum. The eigenmodes are however not orthogonal in general. This qualitative difference to Hermitian physics has a range of consequences for the physical behaviour of the system in the steady state or when it is subjected to external perturbations. This overview reviews the recent progress in the field of pseudo-Hermitian physics as it unfolds when applied to low-energy excitations of magnetically ordered materials. The focus is mainly on long wave length spin excitations (spin waves) with magnons being the energy quanta of these excitations. Various setups including ferromagnetic, antiferromagnetic, magnonic crystals, and hybride structures with different types of coupling to the environments as well as spatio-temporally engineered systems will be discussed with a focus on the particular aspects that are brought about by the pseudo-Hermiticity such as mode amplifications, non-reciprocal propagation, magnon cloaking, non-Hermitian skin effect, PT-symmetric assisted Floquet engineering, topological energy transfer, and field-induced enhanced sensitivity.","[""Jamal Berakdar"", ""Xi-guang Wang""]",2026-01-02T14:39:19+00:00,2026-01-02T14:39:19+00:00,cond-mat.mes-hall,"[""cond-mat.mes-hall"", ""cond-mat.mtrl-sci"", ""physics.optics"", ""quant-ph""]",Review,,,http://arxiv.org/abs/2601.00701v1,https://arxiv.org/pdf/2601.00701v1,cat:quant-ph AND submittedDate:[202601010000 TO 202612312359],2026,SCREEN_001,out_of_scope,out_of_scope_other,review_or_survey,"No strong QIS task, protocol, resource, or hardware terms were matched in title/abstract.",[],False,False,False
2601.00337,When Does Quantum Differential Privacy Compose?,"Composition is a cornerstone of classical differential privacy, enabling strong end-to-end guarantees for complex algorithms through composition theorems (e.g., basic and advanced). In the quantum setting, however, privacy is defined operationally against arbitrary measurements, and classical composition arguments based on scalar privacy-loss random variables no longer apply. As a result, it has remained unclear when meaningful composition guarantees can be obtained for quantum differential privacy (QDP). In this work, we clarify both the limitations and possibilities of composition in the quantum setting. We first show that classical-style composition fails in full generality for POVM-based approximate QDP: even quantum channels that are individually perfectly private can completely lose privacy when combined through correlated joint implementations. We then identify a setting in which clean composition guarantees can be restored. For tensor-product channels acting on product neighboring inputs, we introduce a quantum moments accountant based on an operator-valued notion of privacy loss and a matrix moment-generating function. Although the resulting Rényi-type divergence does not satisfy a data-processing inequality, we prove that controlling its moments suffices to bound measured Rényi divergence, yielding operational privacy guarantees against arbitrary measurements. This leads to advanced-composition-style bounds with the same leading-order behavior as in the classical theory. Our results demonstrate that meaningful composition theorems for quantum differential privacy require carefully articulated structural assumptions on channels, inputs, and adversarial measurements, and provide a principled framework for understanding which classical ideas do and do not extend to the quantum setting.","[""Daniel Alabi"", ""Theshani Nuradha""]",2026-01-01T13:24:09+00:00,2026-01-01T13:24:09+00:00,quant-ph,"[""quant-ph"", ""cs.CR"", ""cs.IT""]","36 pages, 1 figure",,,http://arxiv.org/abs/2601.00337v1,https://arxiv.org/pdf/2601.00337v1,cat:quant-ph AND submittedDate:[202601010000 TO 202612312359],2026,SCREEN_002,out_of_scope,out_of_scope_other,experimental_or_demonstration,"No strong QIS task, protocol, resource, or hardware terms were matched in title/abstract.",[],False,False,False
2501.01381,Commutator Estimates and Quantitative Local Weyl's Law for Schrödinger Operators with Non-Smooth Potentials,"We analyze semi-classical Schrödinger operators with potentials of class $C^{1,1/2}$ and establish commutator estimates for the associated projection operators in Schatten norms. These are then applied to prove quantitative versions of the local and phase space Weyl laws in $L^p$ spaces. We study both non-interacting, and interacting particle systems. In particular, we are able to treat the case of the minimizers of the Hartree energy in the case of repulsive singular pair interactions such as the Coulomb potential.","[""Esteban Cárdenas"", ""Laurent Lafleche""]",2025-01-02T17:52:06+00:00,2025-02-21T20:08:55+00:00,math-ph,"[""math-ph"", ""math.AP"", ""math.SP"", ""quant-ph""]",52 pages,,,http://arxiv.org/abs/2501.01381v2,https://arxiv.org/pdf/2501.01381v2,cat:quant-ph AND submittedDate:[202501010000 TO 202512312359],2025,SCREEN_003,out_of_scope,out_of_scope_other,theory_or_methods,"No strong QIS task, protocol, resource, or hardware terms were matched in title/abstract.",[],False,False,False
2501.02478,Anomalous bulk-edge correspondence of nonlinear Rice-Mele model,"Bulk-edge correspondence (BEC) constitutes a fundamental concept within the domain of topological physics, elucidating the profound interplay between the topological invariants that characterize the bulk states and the emergent edge states. A recent highlight along this research line consists of establishing BEC under the eigenvalue's nonlinearity in a linear Hamiltonian by introducing auxiliary eigenvalues [\href{https://doi.org/10.1103/PhysRevLett.132.126601}{ T. Isobe {\it et al.,} Phys. Rev. Lett. 132, 126601 (2024)}]. The purpose of this work aims to extend Isobe's analysis to uncover BEC of eigenvalue's nonlinearity in intrinsic nonlinear Hamiltonians. To achieve this, we numerically solve the nonlinear Rice-Mele (RM) model and identify two distinct types of nonlinear eigenvalues: the intrinsically nonlinear eigenvalues and the eigenvalue's nonlinearity introduced through the incorporation of auxiliary eigenvalues. Furthermore, we establish a novel form of BEC based on these auxiliary nonlinear eigenvalues, which we term the anomalous BEC of a nonlinear physical system. The concept of the anomalous BEC defined herein provides a novel perspective on the intricate interplay between topology and nonlinearity in the context of BEC.","[""Chenxi Bai"", ""Zhaoxin Liang""]",2025-01-05T08:30:37+00:00,2025-04-09T10:23:27+00:00,cond-mat.quant-gas,"[""cond-mat.quant-gas"", ""nlin.PS"", ""quant-ph""]","9 pages, 4 figures",Phys. Rev. A 111. 042201 (2025),10.1103/PhysRevA.111.042201,http://arxiv.org/abs/2501.02478v2,https://arxiv.org/pdf/2501.02478v2,cat:quant-ph AND submittedDate:[202501010000 TO 202512312359],2025,SCREEN_004,out_of_scope,out_of_scope_other,theory_or_methods,"No strong QIS task, protocol, resource, or hardware terms were matched in title/abstract.",[],False,False,False
2501.02779,Image-charge detection of electrons on helium in an on-chip trapping device,"Electrons trapped on the surface of superfluid helium have been thought of as a useful resource for quantum computing. Such electrons show long coherence of their surface-bound (Rydberg) states combined with their easy electrostatic manipulation. Recent proposals explored the possibility of coupling the spin state of an electron and the state of its quantized motion with a promise of a highly scalable 2D architecture for a quantum computer. However, despite recent progress in the detection of quantized lateral motion of electrons using a circuit-QED setup, the manipulation of a small number of electrons and their quantum state detection remains a challenging problem. Here, we report on the detection of the Rydberg transition of electrons on superfluid helium in an on-chip microchannel device in which electrons are moved and trapped by a set of electrostatic gates. A highly sensitive image-charge detection system allows us not only to resolve the transition spectra of such electrons, but also to perform the device characterization. The demonstrated sensitivity shows the feasibility of detecting the Rydberg transition of a single electron, which can open a new pathway for a non-destructive spin-state readout.","[""Mikhail Belianchikov"", ""Natalia Morais"", ""Denis Konstantinov""]",2025-01-06T05:49:56+00:00,2025-01-06T05:49:56+00:00,cond-mat.mes-hall,"[""cond-mat.mes-hall"", ""physics.app-ph"", ""quant-ph""]","12 pages, 13 figures",,,http://arxiv.org/abs/2501.02779v1,https://arxiv.org/pdf/2501.02779v1,cat:quant-ph AND submittedDate:[202501010000 TO 202512312359],2025,SCREEN_005,in_scope,quantum_hardware_systems,experimental_hardware,"Heuristic matched in scope evidence for quantum_hardware_systems: quantum computer, quantum computing, readout.","[""quantum computer"", ""quantum computing"", ""readout""]",False,False,False
2301.01706,On-chip Hong-Ou-Mandel interference from separate quantum dot emitters in an integrated circuit,"Scalable quantum photonic technologies require low-loss integration of many identical single-photon sources with photonic circuitry on a chip. Relatively complex quantum photonic circuits have already been demonstrated; however, sources used so far relied on parametric-down-conversion. Hence, the efficiency and scalability are intrinsically limited by the probabilistic nature of the sources. Quantum emitter-based single-photon sources are free of this limitation, but frequency matching of multiple emitters within a single circuit remains a challenge. In this work, we demonstrate a key component in this regard in the form of a fully monolithic GaAs circuit combing two frequency-matched quantum dot single-photon sources interconnected with a low-loss on-chip beamsplitter connected via single-mode ridge waveguides. This device enabled us to perform a two-photon interference experiment on-chip with visibility reaching 66%, limited by the coherence of the emitters. Our device could be further scaled up, providing a clear path to increase the complexity of quantum circuits toward fully scalable integrated quantum technologies.","[""Łukasz Dusanowski"", ""Dominik Köck"", ""Christian Schneider"", ""Sven Höfling""]",2023-01-04T17:03:04+00:00,2023-01-04T17:03:04+00:00,quant-ph,"[""quant-ph"", ""cond-mat.mes-hall"", ""physics.app-ph""]",,,,http://arxiv.org/abs/2301.01706v1,https://arxiv.org/pdf/2301.01706v1,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023,SCREEN_006,borderline,quantum_information_theory,experimental_or_demonstration,Heuristic matched borderline evidence for quantum_information_theory: coherence.,"[""coherence""]",False,False,True
2501.02884,QSCL-EWIL: Quantum Stochastic Contrast Learning for Enhanced WiFi-Based Indoor Localization,"WiFi-based indoor localization is essential for asset tracking, healthcare monitoring, and smart buildings. However, existing systems face challenges such as data variability, environmental noise, and difficulty detecting floor and building levels, compounded by limited labeled data and high received signal strength (RSS) collection costs. This paper introduces quantum stochastic contrast learning (QSCL), a novel framework grounded in rigorous theoretical foundations. We present four theorems and one lemma that establish the probabilistic augmentation, diversity enhancement, relationship preservation, and resilience of QSCL under quantum noise, supported by formal proofs. Leveraging these foundations, QSCL utilizes quantum computing (QC) to generate strong data augmentations with stochastic perturbations, enhancing data diversity, while classical weak augmentations provide subtle variations for robust feature learning. We propose a spatial temporal adaptive attention (STAA) encoder that integrates convolutional layers with adaptive attention mechanisms to capture spatial and temporal dependencies in sequential data. Furthermore, a bidirectional contrastive loss function is introduced to capture forward and reverse relationships between augmented views, ensuring robust representations. Comprehensive evaluations on the UJIIndoorLoc and UTSIndoorLoc datasets validate QSCL, demonstrating superior performance with reduced labeled data and resilience to quantum noise such as bit-flip, dephasing, and measurement noise. The proposed framework significantly improves localization accuracy, floor and building detection, and generalizability in challenging indoor environments.","[""Muhammad Bilal Akram Dastagir"", ""Omer Tariq"", ""Dongsoo Han"", ""Saif Al-Kuwari"", ""Shahid Mumtaz"", ""Ahmed Farouk""]",2025-01-06T09:54:16+00:00,2025-11-04T09:21:32+00:00,quant-ph,"[""quant-ph""]","13 Pages, 8 Figures",,,http://arxiv.org/abs/2501.02884v2,https://arxiv.org/pdf/2501.02884v2,cat:quant-ph AND submittedDate:[202501010000 TO 202512312359],2025,SCREEN_007,in_scope,quantum_hardware_systems,theory,Heuristic matched in scope evidence for quantum_hardware_systems: quantum computing.,"[""quantum computing""]",False,False,True
2301.02247,Quantum Metric Unveils Defect Freezing in Non-Hermitian Systems,"Non-Hermiticity in quantum Hamiltonians leads to nonunitary time evolution and possibly complex energy eigenvalues, which can lead to a rich phenomenology with no Hermitian counterpart. In this work, we study the dynamics of an exactly solvable non-Hermitian system, hosting both $\mathcal{PT}$-symmetric and $\mathcal{PT}$-broken modes subject to a linear quench. Employing a fully consistent framework, in which the Hilbert space is endowed with a nontrivial dynamical metric, we analyze the dynamics of the generated defects. In contrast to Hermitian systems, our study reveals that PT -broken time evolution leads to defect freezing and hence the violation of adiabaticity. This physics necessitates the so-called metric framework, as it is missed by the oft used approach of normalizing quantities by the time-dependent norm of the state. Our results are relevant for a wide class of experimental systems.","[""Karin Sim"", ""Nicolò Defenu"", ""Paolo Molignini"", ""R. Chitra""]",2023-01-05T19:00:00+00:00,2023-10-24T14:05:47+00:00,quant-ph,"[""quant-ph"", ""cond-mat.str-el""]",Main text: 7 pages and 3 figures,"Phys. Rev. Lett. 131, 156501 (2023)",10.1103/PhysRevLett.131.156501,http://arxiv.org/abs/2301.02247v3,https://arxiv.org/pdf/2301.02247v3,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023,SCREEN_008,out_of_scope,out_of_scope_other,experimental_or_demonstration,"No strong QIS task, protocol, resource, or hardware terms were matched in title/abstract.",[],False,False,False
2301.02529,Experimental quantum imaging distillation with undetected light,"Imaging based on the induced coherence effect makes use of photon pairs to obtain information of an object without detecting the light that probes it. While one photon illuminates the object, only its partner is detected, so no measurement of coincidence events are needed. The sought-after object's information is revealed observing a certain interference pattern on the detected photon. Here we demonstrate experimentally that this imaging technique can be made resilient to noise. We introduce an imaging distillation approach based on the interferometric modulation of the signal of interest. We show that our scheme can generate a high-quality image of an object even against noise levels up to 250 times the actual signal of interest. We also include a detailed theoretical explanation of our findings.","[""Jorge Fuenzalida"", ""Marta Gilaberte Basset"", ""Sebastian Töpfer"", ""Juan P. Torres"", ""Markus Gräfe""]",2023-01-06T14:41:50+00:00,2023-07-18T09:29:08+00:00,quant-ph,"[""quant-ph"", ""physics.optics""]","18 pages, 6 figures, and 1 table + 11 pages, 3 figures, and 1 table","Sci. Adv. 9, eadg9573 (2023)",10.1126/sciadv.adg9573,http://arxiv.org/abs/2301.02529v2,https://arxiv.org/pdf/2301.02529v2,cat:quant-ph AND submittedDate:[202301010000 TO 202312312359],2023,SCREEN_009,borderline,quantum_information_theory,experimental_or_demonstration,Heuristic matched borderline evidence for quantum_information_theory: coherence.,"[""coherence""]",False,False,True
2601.0215,Quantum Extreme Reservoir Computing for Phase Classification of Polymer Alloy Microstructures,"Quantum machine learning (QML) is expected to offer new opportunities to process high-dimensional data efficiently by exploiting the exponentially large state space of quantum systems. In this work, we apply quantum extreme reservoir computing (QERC) to the classification of microstructure images of polymer alloys generated using self-consistent field theory (SCFT). While previous QML efforts have primarily focused on benchmark datasets such as MNIST, our work demonstrates the applicability of QERC to engineering data with direct materials relevance. Through numerical experiments, we examine the influence of key computational parameters-including the number of qubits, sampling cost (the number of measurement shots), and reservoir configuration-on classification performance. The resulting phase classifications are depicted as phase diagrams that illustrate the phase transitions in polymer morphology, establishing an understandable connection between quantum model outputs and material behavior. These results illustrate QERC performance on realistic materials datasets and suggest practical guidelines for quantum encoder design and model generalization. This work establishes a foundation for integrating quantum learning techniques into materials informatics.","[""Arisa Ikeda"", ""Akitada Sakurai"", ""Kae Nemoto"", ""Mayu Muramatsu""]",2026-01-05T14:25:51+00:00,2026-01-23T08:13:01+00:00,quant-ph,"[""quant-ph"", ""cond-mat.mtrl-sci""]","10 pages, 6 figures",,,http://arxiv.org/abs/2601.02150v2,https://arxiv.org/pdf/2601.02150v2,cat:quant-ph AND submittedDate:[202601010000 TO 202612312359],2026,SCREEN_010,in_scope,quantum_machine_learning,experimental_or_demonstration,Heuristic matched in scope evidence for quantum_machine_learning: quantum machine learning.,"[""quantum machine learning""]",False,False,False
